archArea,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,hhldCnt,hoCnt,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,roofCd,roofCdNm,sigunguCd,splotNm,strctCd,strctCdNm,totArea,vlRatEstmTotArea
348.19,10300,궁정동 3-6 제2종근린생활시설 (이봉주), ,0003,20160824,0,1,0,0006, ,0,주건축물,04000,제2종근린생활시설,11110-100024741,11110-100025156,0,서울특별시 종로구 궁정동 3-6번지,5,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,966.56,966.56
252.74,10300,궁정동 3-6 단독주택 (이봉주), ,0003,20180905,0,1,0,0006, ,0,주건축물,01000,단독주택,11110-100031781,11110-100026114,0,서울특별시 종로구 궁정동 3-6번지,6,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,511.93,325.53
125.9,10300,궁정동 3-6 단독주택 (이봉주), ,0003,20180905,0,0,0,0006, ,1,부속건축물,04000,제2종근린생활시설,11110-100031782,11110-100026114,0,서울특별시 종로구 궁정동 3-6번지,7,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,394.34,237.44
0,10300, , ,0003,20160223,1,0,0,0007, ,0,주건축물,01000,단독주택,11110-100024413,11110-100024857,0,서울특별시 종로구 궁정동 3-7번지,8,10,(철근)콘크리트,11110, ,11,벽돌구조,182.09,0
0,10300, , ,0003,20160223,1,0,0,0008, ,0,주건축물,01000,단독주택,11110-100024412,11110-100024856,0,서울특별시 종로구 궁정동 3-8번지,9,20,기와,11110, ,11,벽돌구조,195.93,0
77.23,10300, , ,0003,20180726,1,1,1,0018, ,0,주건축물,01000,단독주택,11110-100030233,11110-100030086,0,서울특별시 종로구 궁정동 3-18번지,10,90,기타지붕,11110, ,21,철근콘크리트구조,304.93,266.29
0,10400, , ,0025,20120925,1,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-100015032,11110-100016407,0,서울특별시 종로구 효자동 25번지,1,20,기와,11110, ,51,일반목구조,69.62,0
148.76,10400,효자동 25 제1종근린생활시설, ,0025,20171229,0,0,0,0000, ,0,주건축물,03000,제1종근린생활시설,11110-100029749,11110-100029630,0,서울특별시 종로구 효자동 25번지,2,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,463.34,464.34
0,10400, , ,0033,20170426,1,0,0,0001, ,0,주건축물,01000,단독주택,11110-100027809,11110-100027768,0,서울특별시 종로구 효자동 33-1번지,3,20,기와,11110, ,51,일반목구조,52.89,0
72.69,10400,효자동 33-1 (박봉용), ,0033,20181212,1,0,0,0001, ,0,주건축물,01000,단독주택,11110-100028950,11110-100028855,0,서울특별시 종로구 효자동 33-1번지,4,20,기와,11110, ,51,일반목구조,72.69,72.69
72.19,10400,효자동 33-1 (박봉용), ,0033,20181220,1,0,0,0001, ,0,주건축물,01000,단독주택,11110-100034753,11110-100033429,0,서울특별시 종로구 효자동 33-1번지,5,20,기와,11110, ,51,일반목구조,72.19,72.19
0,10400, , ,0034,20141016,4,0,0,0001, ,0,주건축물,01000,단독주택,11110-100020176,11110-100020925,0,서울특별시 종로구 효자동 34-1번지,6,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,53.36,53.36
80.4,10400,효자동 다가구주택, ,0034,20141017,3,0,0,0001, ,0,주건축물,01000,단독주택,11110-1958,11110-1502,0,서울특별시 종로구 효자동 34-1번지,7,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,260.56,260.56
10.05,10400,현대사회연구소 B/D, ,0038,20090326,0,1,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-4032,11110-3394,0,서울특별시 종로구 효자동 38번지,8,90,기타지붕,11110, ,21,철근콘크리트구조,27.66,27.66
