C1,C1_NM,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
000200010001,도심권,지역별,0001,전체,규모별,904.4782653,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0002,40㎡이하,규모별,9529.411765,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0002,40㎡이하,규모별,694.9264706,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0002,40㎡이하,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0002,40㎡이하,규모별,700,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0003,40㎡초과,규모별,19333.33333,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0003,40㎡초과,규모별,1559.666667,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0003,40㎡초과,규모별,20000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010001,도심권,지역별,0003,40㎡초과,규모별,1390,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0001,전체,규모별,10352.59745,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0001,전체,규모별,598.4868902,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0001,전체,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0001,전체,규모별,603.7075027,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0002,40㎡이하,규모별,8850,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0002,40㎡이하,규모별,546.6382979,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0002,40㎡이하,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0002,40㎡이하,규모별,560,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0003,40㎡초과,규모별,17272.72727,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0003,40㎡초과,규모별,837.2727273,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0003,40㎡초과,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010002,동북권,지역별,0003,40㎡초과,규모별,805,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0001,전체,규모별,14137.57872,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0001,전체,규모별,742.8212079,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0001,전체,규모별,11937.08278,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0001,전체,규모별,703.344126,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0002,40㎡이하,규모별,9556.818182,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0002,40㎡이하,규모별,597.9318182,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0002,40㎡이하,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0002,40㎡이하,규모별,560,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0003,40㎡초과,규모별,33204.54545,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0003,40㎡초과,규모별,1345.909091,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0003,40㎡초과,규모별,20000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010003,서북권,지역별,0003,40㎡초과,규모별,1300,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0001,전체,규모별,21762.5715,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0001,전체,규모별,674.9616604,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0001,전체,규모별,14579.47722,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0001,전체,규모별,639.1757332,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0002,40㎡이하,규모별,10867.74194,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0002,40㎡이하,규모별,496.4112903,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0002,40㎡이하,규모별,10000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0002,40㎡이하,규모별,485,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0003,40㎡초과,규모별,46553.57143,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
000200010004,서남권,지역별,0003,40㎡초과,규모별,1081.25,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
