,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
24,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,98.75974264,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
25,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,99.94546658,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
26,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,97.64999937,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
27,01,아파트,Apartments,주택유형,Type,a4,5대광역시,5MetropolitanCities,지역,Region,98.38432041,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
28,01,아파트,Apartments,주택유형,Type,a6,8개도,8Provinces,지역,Region,96.95597151,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
29,01,아파트,Apartments,주택유형,Type,a7,서울,Seoul,지역,Region,99.63968035,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
30,01,아파트,Apartments,주택유형,Type,a8,경기,Gyeonggi,지역,Region,100.1710569,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
31,01,아파트,Apartments,주택유형,Type,a9,인천,Incheon,지역,Region,99.81427563,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
32,01,아파트,Apartments,주택유형,Type,b1,부산,Busan,지역,Region,99.54675222,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
33,01,아파트,Apartments,주택유형,Type,b2,대구,Daegu,지역,Region,99.7623617,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
34,01,아파트,Apartments,주택유형,Type,b3,광주,Gwangju,지역,Region,99.70706942,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
35,01,아파트,Apartments,주택유형,Type,b4,대전,Daejeon,지역,Region,99.3920064,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
36,01,아파트,Apartments,주택유형,Type,b5,울산,Ulsan,지역,Region,89.72285452,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
37,01,아파트,Apartments,주택유형,Type,b6,세종,Sejong,지역,Region,100.1847699,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
38,01,아파트,Apartments,주택유형,Type,c1,강원,Gangwon,지역,Region,98.39772364,rent,월세가격,408,201903,M,DT_30404_N0002,유형별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
