,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
25,1511613102251770A.03,부산,,시도별,Metropolitan city and province,1511613102251770B.8,3천㎡~1만㎡미만,,면적별,5993,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
26,1511613102251770A.03,부산,,시도별,Metropolitan city and province,1511613102251770B.9,1만㎡이상,,면적별,3380,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
27,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.0,계,Total,면적별,250736,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
28,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.2,1백㎡미만,,면적별,86473,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
29,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.3,1백㎡~2백㎡미만,,면적별,79991,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
30,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.4,2백㎡~3백㎡미만,,면적별,21767,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
31,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.5,3백㎡~5백㎡미만,,면적별,29984,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
32,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.6,5백㎡~1천㎡미만,,면적별,17008,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
33,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.7,1천㎡~3천㎡미만,,면적별,8900,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
34,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.8,3천㎡~1만㎡미만,,면적별,4620,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
35,1511613102251770A.04,대구,,시도별,Metropolitan city and province,1511613102251770B.9,1만㎡이상,,면적별,1993,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
36,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.0,계,Total,면적별,202873,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
37,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.2,1백㎡미만,,면적별,73621,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
38,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.3,1백㎡~2백㎡미만,,면적별,40952,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
39,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.4,2백㎡~3백㎡미만,,면적별,19779,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
40,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.5,3백㎡~5백㎡미만,,면적별,28940,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
41,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.6,5백㎡~1천㎡미만,,면적별,21452,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
42,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.7,1천㎡~3천㎡미만,,면적별,9978,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
43,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.8,3천㎡~1만㎡미만,,면적별,6071,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
44,1511613102251770A.05,인천,,시도별,Metropolitan city and province,1511613102251770B.9,1만㎡이상,,면적별,2080,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
45,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.0,계,Total,면적별,135699,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
46,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.2,1백㎡미만,,면적별,57019,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
47,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.3,1백㎡~2백㎡미만,,면적별,44495,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
48,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.4,2백㎡~3백㎡미만,,면적별,7285,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
49,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.5,3백㎡~5백㎡미만,,면적별,11327,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
50,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.6,5백㎡~1천㎡미만,,면적별,6338,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
51,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.7,1천㎡~3천㎡미만,,면적별,4579,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
52,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.8,3천㎡~1만㎡미만,,면적별,3157,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
53,1511613102251770A.06,광주,,시도별,Metropolitan city and province,1511613102251770B.9,1만㎡이상,,면적별,1499,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
54,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.0,계,Total,면적별,130852,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
55,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.2,1백㎡미만,,면적별,47222,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
56,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.3,1백㎡~2백㎡미만,,면적별,38027,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
57,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.4,2백㎡~3백㎡미만,,면적별,8938,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
58,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.5,3백㎡~5백㎡미만,,면적별,16768,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
59,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.6,5백㎡~1천㎡미만,,면적별,10107,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
60,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.7,1천㎡~3천㎡미만,,면적별,4739,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
61,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.8,3천㎡~1만㎡미만,,면적별,3308,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
62,1511613102251770A.07,대전,,시도별,Metropolitan city and province,1511613102251770B.9,1만㎡이상,,면적별,1743,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
63,1511613102251770A.08,울산,,시도별,Metropolitan city and province,1511613102251770B.0,계,Total,면적별,121382,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
64,1511613102251770A.08,울산,,시도별,Metropolitan city and province,1511613102251770B.2,1백㎡미만,,면적별,49317,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
65,1511613102251770A.08,울산,,시도별,Metropolitan city and province,1511613102251770B.3,1백㎡~2백㎡미만,,면적별,33905,1611613103251770T1,동수,116,2007,A,TX_116110032,건축물 현황(면적별시도별),동,Building
