bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmDongOulnPk,mgmPlatPlcPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmPmsrgstPk
10100, ,0015,20130618,510,0000,08,대, ,0,전체,11110-2238,11110-1864,0,서울특별시 종로구 청운동 15번지, ,1,42,11110, ,
10100, ,0015,20100325,510,0007, , , ,0,전체,11110-5582,11110-5208,0,서울특별시 종로구 청운동 15-7번지, ,1,43,11110, ,
10100, ,0015,20130618,510,0007,08,대, ,0,전체,11110-1935,11110-1561,0,서울특별시 종로구 청운동 15-7번지, ,1,44,11110, ,
10100, ,0015,20090326,510,0009,08,대, ,0,전체,11110-2935,11110-2561,0,서울특별시 종로구 청운동 15-9번지, ,1,45,11110, ,
10100, ,0015,20100325,510,0009, , , ,0,전체,11110-6042,11110-5668,0,서울특별시 종로구 청운동 15-9번지, ,1,46,11110, ,
10100, ,0015,20131001,510,0012,08,대, ,0,전체,11110-100024170,11110-100018280,0,서울특별시 종로구 청운동 15-12번지, ,1,47,11110, ,
10100, ,0015,20180914,510,0012,08,대, ,0,전체,11110-100027043,11110-100016889,0,서울특별시 종로구 청운동 15-12번지, ,1,48,11110, ,
10100, ,0015,20100325,510,0014,08,대, ,0,전체,11110-100009949,11110-100010314,0,서울특별시 종로구 청운동 15-14번지, ,1,49,11110, ,
10100, ,0015,20111209,510,0014,08,대, ,0,전체,11110-100010515,11110-100010771,0,서울특별시 종로구 청운동 15-14번지, ,1,50,11110, ,
10100, ,0015,20111209,510,0014,08,대, ,0,전체,11110-100018505,11110-100011735,0,서울특별시 종로구 청운동 15-14번지, ,1,51,11110, ,
10100, ,0015,20100325,510,0015, , , ,0,전체,11110-6254,11110-5880,0,서울특별시 종로구 청운동 15-15번지, ,1,52,11110, ,
10100, ,0015,20130618,510,0015,08,대, ,0,전체,11110-2837,11110-2463,0,서울특별시 종로구 청운동 15-15번지, ,1,53,11110, ,
10100, ,0015,20100325,510,0017,08,대, ,0,전체,11110-100009950,11110-100010315,0,서울특별시 종로구 청운동 15-17번지, ,1,54,11110, ,
10100, ,0015,20111104,510,0017,08,대, ,0,전체,11110-100018184,11110-100011736,0,서울특별시 종로구 청운동 15-17번지, ,1,55,11110, ,
10100, ,0015,20100325,510,0021, , , ,0,전체,11110-6963,11110-6589,0,서울특별시 종로구 청운동 15-21번지, ,1,56,11110, ,
10100, ,0015,20140318,510,0021,08,대, ,0,전체,11110-100026011,11110-100018579,0,서울특별시 종로구 청운동 15-21번지, ,0,57,11110, ,
10100, ,0015,20140318,510,0021,08,대, ,1,동별,11110-100018724,11110-100026013,0,서울특별시 종로구 청운동 15-21번지, ,0,58,11110, ,
10100, ,0015,20140318,510,0022,08,대, ,0,전체,11110-100026010,11110-100018579,0,서울특별시 종로구 청운동 15-22번지, ,1,59,11110, ,
10100, ,0015,20130824,510,0033,08,대, ,0,전체,11110-2325,11110-1951,0,서울특별시 종로구 청운동 15-33번지, ,1,60,11110, ,
10100, ,0015,20170301,515,0033,08,대, ,0,전체,11110-100038045,11110-100027374,0,서울특별시 종로구 청운동 15-33번지, ,1,61,11110, ,
10100, ,0015,20180420,515,0033,08,대, ,0,전체,11110-100043302,11110-100025592,0,서울특별시 종로구 청운동 15-33번지, ,1,62,11110, ,
10100, ,0015,20140318,510,0040,08,대, ,0,전체,11110-100026012,11110-100018579,0,서울특별시 종로구 청운동 15-40번지, ,0,63,11110, ,
