bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10100, ,0015,20130618,0000,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-1864,0,서울특별시 종로구 청운동 15번지,1,37,11110, 
10100, ,0015,20130618,0000,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1864,0,서울특별시 종로구 청운동 15번지,0,38,11110, 
10100, ,0015,20130618,0000,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-1864,0,서울특별시 종로구 청운동 15번지,1,39,11110, 
10100, ,0015,20130618,0007,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-1561,0,서울특별시 종로구 청운동 15-7번지,0,40,11110, 
10100, ,0015,20130618,0007,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1561,0,서울특별시 종로구 청운동 15-7번지,1,41,11110, 
10100, ,0015,20130618,0007,990, ,2,용도지구코드,기타지구, ,0,전체,11110-1561,0,서울특별시 종로구 청운동 15-7번지,1,42,11110, 
10100, ,0015,20090326,0009,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-2561,0,서울특별시 종로구 청운동 15-9번지,1,43,11110, 
10100, ,0015,20090326,0009,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-2561,0,서울특별시 종로구 청운동 15-9번지,0,44,11110, 
10100, ,0015,20090326,0009,990, ,2,용도지구코드,기타지구, ,0,전체,11110-2561,0,서울특별시 종로구 청운동 15-9번지,1,45,11110, 
10100, ,0015,20180914,0012,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,1,46,11110, 
10100, ,0015,20180914,0012,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,0,47,11110, 
10100, ,0015,20180914,0012,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,1,48,11110, 
10100, ,0015,20180914,0012,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,1,49,11110, 
10100, ,0015,20111209,0014,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100010771,0,서울특별시 종로구 청운동 15-14번지,1,50,11110, 
10100, ,0015,20111209,0014,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,1,51,11110, 
10100, ,0015,20111209,0014,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,0,52,11110, 
10100, ,0015,20111209,0014,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,1,53,11110, 
10100, ,0015,20111209,0014,272, ,3,용도구역코드,상대정화구역, ,0,전체,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,1,54,11110, 
10100, ,0015,20130618,0015,1022, ,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-2463,0,서울특별시 종로구 청운동 15-15번지,1,55,11110, 
10100, ,0015,20130618,0015,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-2463,0,서울특별시 종로구 청운동 15-15번지,1,56,11110, 
10100, ,0015,20130618,0015,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-2463,0,서울특별시 종로구 청운동 15-15번지,0,57,11110, 
10100, ,0015,20111104,0017,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,1,58,11110, 
10100, ,0015,20111104,0017,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,0,59,11110, 
10100, ,0015,20111104,0017,411, ,2,용도지구코드,자연경관지구, ,0,전체,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,1,60,11110, 
10100, ,0015,20111104,0017,318, ,3,용도구역코드,대공방어협조구역, ,0,전체,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,1,61,11110, 
10100, ,0015,20111104,0017,272, ,3,용도구역코드,상대정화구역, ,0,전체,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,0,62,11110, 
10100, ,0015,20140318,0022,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100018579,0,서울특별시 종로구 청운동 15-22번지,1,63,11110, 
10100, ,0015,20140318,0022,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100018579,0,서울특별시 종로구 청운동 15-22번지,0,64,11110, 
10100, ,0015,20140318,0022,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100018579,0,서울특별시 종로구 청운동 15-22번지,1,65,11110, 
