bjdongCd,block,bun,crtnDay,exmptUtcnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,ji,lot,mgmPmsrgstPk,neigAutoArea,neigAutoUtcnt,neigMechArea,neigMechUtcnt,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platGbCd,platPlc,rnum,sigunguCd,splotNm
10100, ,0050,20190213,0,0,0,0,0,0030, ,11110-100024762,0,0,0,0,0,7,0,0,0,서울특별시 종로구 청운동 50-30번지,33,11110, 
10100, ,0050,20170722,0,12.5,1,0,0,0040, ,11110-100025972,0,0,0,0,25,2,0,0,0,서울특별시 종로구 청운동 50-40번지,34,11110, 
10100, ,0050,20150903,0,0,0,0,0,0062, ,11110-100022515,0,0,0,0,12,1,0,0,0,서울특별시 종로구 청운동 50-62번지,35,11110, 
10100, ,0051,20130618,0,0,0,0,0,0005, ,11110-517,0,0,0,0,43,4,0,0,0,서울특별시 종로구 청운동 51-5번지,36,11110, 
10100, ,0051,20130618,0,43,4,0,0,0005, ,11110-418,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 51-5번지,37,11110, 
10100, ,0052,20160608,0,44.5,4,0,0,0002, ,11110-100023810,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-2번지,38,11110, 
10100, ,0052,20101123,0,75.48,4,0,0,0005, ,11110-100011904,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 52-5번지,39,11110, 
10100, ,0052,20180328,0,0,0,0,0,0005, ,11110-100030171,0,0,0,0,0,8,0,0,0,서울특별시 종로구 청운동 52-5번지,40,11110, 
10100, ,0052,20090326,0,95.08,4,0,0,0006, ,11110-794,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-6번지,41,11110, 
10100, ,0052,20130618,0,160.24,6,0,0,0010, ,11110-472,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-10번지,42,11110, 
10100, ,0052,20100604,0,91.69,4,0,0,0015, ,11110-446,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-15번지,43,11110, 
10100, ,0052,20090326,0,38.88,2,0,0,0016, ,11110-2465,0,0,0,0,0,2,0,0,0,서울특별시 종로구 청운동 52-16번지,44,11110, 
10100, ,0052,20090326,0,77.15,5,0,0,0018, ,11110-567,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-18번지,45,11110, 
10100, ,0052,20120204,0,77.15,5,0,0,0018, ,11110-467,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-18번지,46,11110, 
10100,52,0052,20090326,0,19.98,1,0,0,0023,23,11110-1080,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-23번지,47,11110,서울시 종로구 청운동
10100, ,0052,20100112,0,0,0,0,0,0026, ,11110-100008788,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 52-26번지,48,11110, 
10100, ,0052,20090326,0,0,0,0,0,0038, ,11110-869,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 청운동 52-38번지,49,11110, 
10100, ,0052,20091024,0,0,0,0,0,0042, ,11110-100010883,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 52-42번지,50,11110, 
10100, ,0052,20090326,0,164.91,2,0,0,0051, ,11110-2556,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-51번지,51,11110, 
10100, ,0052,20140902,0,0,0,0,0,0057, ,11110-3380,0,0,0,0,12,1,0,0,0,서울특별시 종로구 청운동 52-57번지,52,11110, 
10100, ,0052,20120731,0,0,0,0,0,0083, ,11110-100015218,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 52-83번지,53,11110, 
10100, ,0052,20140710,0,0,0,0,0,0083, ,11110-100020246,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 52-83번지,54,11110, 
10100, ,0052,20190109,0,0,0,0,0,0127, ,11110-100033809,0,0,0,0,31.38,2,0,0,0,서울특별시 종로구 청운동 52-127번지,55,11110, 
10100, ,0052,20190124,0,0,0,0,0,0128, ,11110-100033810,0,0,0,0,56.13,2,0,0,0,서울특별시 종로구 청운동 52-128번지,56,11110, 
10100, ,0052,20190323,0,0,4,0,0,0131, ,11110-100035831,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 52-131번지,57,11110, 
10100, ,0053,20180914,0,199.72,7,0,0,0003, ,11110-100017312,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-3번지,58,11110, 
10100, ,0053,20120425,0,0,0,0,0,0016, ,11110-100013593,0,0,0,0,0,3,0,0,0,서울특별시 종로구 청운동 53-16번지,59,11110, 
10100, ,0053,20090326,0,0,0,0,0,0018, ,11110-4107,11.5,1,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-18번지,60,11110, 
10100, ,0053,20140117,1,0,0,0,0,0019, ,11110-100018037,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-19번지,61,11110, 
10100, ,0053,20120229,0,0,2,0,0,0031, ,11110-100013423,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-31번지,62,11110, 
10100, ,0053,20090326,0,108.8,3,0,0,0056, ,11110-2635,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-56번지,63,11110, 
10100, ,0053,20090326,0,175.49,5,0,0,0057, ,11110-4073,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-57번지,64,11110, 
10100, ,0053,20130911,0,0,0,0,0,0060, ,11110-100018204,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 53-60번지,65,11110, 
10100, ,0053,20131026,0,0,0,0,0,0060, ,11110-100018469,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 53-60번지,66,11110, 
10100, ,0053,20140411,0,0,0,0,0,0083, ,11110-4118,11.5,1,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-83번지,67,11110, 
10100, ,0053,20141021,1,0,0,0,0,0088, ,11110-100017623,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 53-88번지,68,11110, 
10100, ,0056,20090326,0,0,7,0,0,0001, ,11110-311,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-1번지,69,11110, 
10100, ,0056,20150402,0,11.5,1,0,0,0004, ,11110-1954,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-4번지,70,11110, 
10100, ,0056,20140517,0,147.38,5,0,0,0014, ,11110-2857,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-14번지,71,11110, 
10100, ,0056,20090326,0,148.05,6,0,0,0041, ,11110-3663,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-41번지,72,11110, 
10100, ,0056,20130618,0,227.44,7,0,0,0042, ,11110-429,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-42번지,73,11110, 
10100, ,0056,20171118,0,23,2,0,0,0044, ,11110-100023469,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-44번지,74,11110, 
10100, ,0056,20090326,0,414.72,13,0,0,0048, ,11110-1658,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-48번지,75,11110, 
10100, ,0056,20140711,0,0,8,0,0,0049, ,11110-1861,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-49번지,76,11110, 
10100, ,0056,20140711,0,231.4,7,0,0,0049, ,11110-2363,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 56-49번지,77,11110, 
10100, ,0056,20150207,0,0,0,0,0,0070, ,11110-100011630,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 청운동 56-70번지,78,11110, 
10100, ,0057,20161108,0,46.17,4,0,0,0027, ,11110-100024788,0,0,0,0,23.5,2,0,0,0,서울특별시 종로구 청운동 57-27번지,79,11110, 
10100, ,0057,20170603,0,240.57,6,0,0,0042, ,11110-100025790,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 57-42번지,80,11110, 
10100,57,0057,20130618,0,74.12,3,0,0,0064,64,11110-1006,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 57-64번지,81,11110,서울시 종로구 청운동
10100, ,0060,20090326,0,0,0,0,0,0000, ,11110-100005957,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 60번지,82,11110, 
10100, ,0063,20190329,0,0,2,0,0,0000, ,11110-100034531,0,0,0,0,0,6,0,0,0,서울특별시 종로구 청운동 63번지,83,11110, 
10100, ,0065,20180616,0,0,0,0,0,0000, ,11110-100030046,0,0,0,0,44,3,0,0,0,서울특별시 종로구 청운동 65번지,84,11110, 
10100, ,0065,20190112,0,0,0,0,0,0000, ,11110-100030967,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 65번지,85,11110, 
10100, ,0069,20090326,0,0,0,0,0,0000, ,11110-2051,0,0,0,0,57.5,5,0,0,0,서울특별시 종로구 청운동 69번지,86,11110, 
10100, ,0071,20130221,0,0,0,0,0,0002, ,11110-810,0,0,0,0,0,2,0,0,0,서울특별시 종로구 청운동 71-2번지,87,11110, 
10100, ,0079,20090326,0,19.31,2,0,0,0002, ,11110-1790,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 79-2번지,88,11110, 
10100, ,0079,20170112,0,19.31,2,0,0,0002, ,11110-100027082,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 79-2번지,89,11110, 
10100, ,0081,20180531,0,0,0,0,0,0001, ,11110-100027370,0,0,0,0,35,3,0,0,0,서울특별시 종로구 청운동 81-1번지,90,11110, 
10100, ,0089,20160805,0,57.5,5,0,0,0002, ,11110-100025951,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 89-2번지,91,11110, 
10100, ,0089,20090326,0,0,19,0,0,0005, ,11110-1530,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 89-5번지,92,11110, 
10100, ,0089,20150310,0,0,0,0,0,0012, ,11110-100022249,0,0,0,0,0,2,0,0,0,서울특별시 종로구 청운동 89-12번지,93,11110, 
10100, ,0089,20090326,0,0,0,0,0,0017, ,11110-799,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 89-17번지,94,11110, 
10100, ,0089,20090326,0,86.88,1,0,16,0020, ,11110-2536,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 89-20번지,95,11110, 
10100, ,0089,20090326,0,0,0,0,0,0021, ,11110-1614,0,0,0,0,69.5,6,0,0,0,서울특별시 종로구 청운동 89-21번지,96,11110, 
10100, ,0089,20090326,0,198.5,7,0,0,0022, ,11110-947,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 89-22번지,97,11110, 
10100, ,0089,20090326,0,57.5,5,0,0,0023, ,11110-491,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 89-23번지,98,11110, 
10100, ,0089,20090326,0,0,0,0,0,0108, ,11110-2061,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 89-108번지,99,11110, 
10100, ,0089,20170727,0,0,0,0,0,0109, ,11110-100026815,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 89-109번지,100,11110, 
10100, ,0089,20171118,0,23,2,0,0,0109, ,11110-100018883,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 89-109번지,101,11110, 
10100, ,0094,20090326,0,0,0,0,0,0002, ,11110-100007115,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 청운동 94-2번지,102,11110, 
10100, ,0095,20170715,0,0,0,0,0,0000, ,11110-100028424,0,0,0,0,0,2,0,0,0,서울특별시 종로구 청운동 95번지,103,11110, 
10100, ,0107,20180608,0,84.06,4,0,0,0000, ,11110-2326,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 107번지,104,11110, 
10100, ,0108,20100604,0,147.53,3,0,0,0001, ,11110-455,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 108-1번지,105,11110, 
10100, ,0108,20171118,0,0,0,0,0,0008, ,11110-100019273,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 108-8번지,106,11110, 
10100, ,0108,20180426,0,0,0,0,0,0008, ,11110-100027924,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 108-8번지,107,11110, 
10100,108,0108,20100604,0,154.24,6,0,0,0014,14,11110-441,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 108-14번지,108,11110, 
10100, ,0111,20090326,0,31.5,2,0,0,0001, ,11110-3646,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 111-1번지,109,11110, 
10100, ,0113,20120215,0,0,6,0,0,0003, ,11110-2432,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 113-3번지,110,11110, 
10100, ,0113,20170106,0,0,0,0,0,0003, ,11110-100027038,0,0,0,0,69,6,0,0,0,서울특별시 종로구 청운동 113-3번지,111,11110, 
10100, ,0114,20090326,0,50,4,0,0,0001, ,11110-2393,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 114-1번지,112,11110, 
10100, ,0115,20090326,0,0,0,0,0,0001, ,11110-3138,0,0,0,0,57.5,5,0,0,0,서울특별시 종로구 청운동 115-1번지,113,11110, 
10100, ,0117,20190227,0,18.27,1,0,0,0001, ,11110-100029242,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 117-1번지,114,11110, 
10200, ,0001,20120605,0,0,0,0,0,0027, ,11110-100010119,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 1-27번지,1,11110, 
10200, ,0002,20131126,0,346.15,12,0,0,0007, ,11110-291,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 2-7번지,2,11110, 
10200, ,0002,20120929,1,0,0,0,0,0051, ,11110-100015118,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 2-51번지,3,11110, 
10200, ,0002,20130220,0,0,0,0,0,0062, ,11110-100015739,0,0,0,0,12,1,0,0,0,서울특별시 종로구 신교동 2-62번지,4,11110, 
10200, ,0002,20090326,0,54,1,0,0,0084, ,11110-2851,0,0,0,0,46,4,0,0,0,서울특별시 종로구 신교동 2-84번지,5,11110, 
10200, ,0004,20111231,0,79.39,4,0,0,0002, ,11110-100013895,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 4-2번지,6,11110, 
10200, ,0006,20131018,0,51.75,3,0,0,0001, ,11110-100013164,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-1번지,7,11110, 
10200, ,0006,20111229,0,0,0,0,0,0002, ,11110-100014456,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 신교동 6-2번지,8,11110, 
10200, ,0006,20140411,0,0,1,0,0,0004, ,11110-4434,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-4번지,9,11110, 
10200, ,0006,20170112,0,0,1,0,0,0004, ,11110-100027098,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-4번지,10,11110, 
10200, ,0006,20150107,0,139.56,6,0,0,0006, ,11110-100017446,0,0,0,0,23,2,0,0,0,서울특별시 종로구 신교동 6-6번지,11,11110, 
10200, ,0006,20090326,0,325.42,11,0,0,0011, ,11110-825,0,0,0,0,0,1,0,0,0,서울특별시 종로구 신교동 6-11번지,12,11110, 
10200, ,0006,20090326,0,325.42,11,0,0,0013, ,11110-931,0,0,0,0,0,1,0,0,0,서울특별시 종로구 신교동 6-13번지,13,11110, 
10200,6,0006,20131126,0,0,0,0,0,0017,17,11110-321,0,0,0,0,1031.85,31,0,0,0,서울특별시 종로구 신교동 6-17번지,14,11110,서울특별시 종로구 신교동
10200, ,0006,20140724,0,69.59,3,0,0,0025, ,11110-100012519,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 신교동 6-25번지,15,11110, 
10200, ,0006,20090326,0,57.32,3,0,0,0046, ,11110-1626,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-46번지,16,11110, 
10200, ,0006,20090326,0,0,2,0,0,0049, ,11110-1444,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-49번지,17,11110, 
10200, ,0006,20131010,0,0,6,0,0,0053, ,11110-1541,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-53번지,18,11110, 
10200, ,0006,20150331,0,0,4,0,0,0080, ,11110-100020854,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-80번지,19,11110, 
10200,12,0012,20131126,0,0,0,0,0,0000, ,11110-265,0,0,0,0,0,5,0,0,0,서울특별시 종로구 신교동 12번지,20,11110,서울특별시 종로구 신교동
10200, ,0017,20130618,0,56.7,2,0,0,0006, ,11110-166,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 17-6번지,21,11110, 
10200, ,0017,20140905,0,0,0,0,0,0006, ,11110-100020680,0,0,0,0,59.99,2,0,0,0,서울특별시 종로구 신교동 17-6번지,22,11110, 
10200, ,0017,20170524,0,0,0,0,0,0010, ,11110-100026235,0,0,0,0,92,8,0,0,0,서울특별시 종로구 신교동 17-10번지,23,11110, 
10200,17,0017,20100112,0,48.62,1,0,0,0031,31,11110-142,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 17-31번지,24,11110,서울특별시 종로구 신교동
10200, ,0017,20110813,0,48.62,1,0,0,0031, ,11110-100011095,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 17-31번지,25,11110, 
10200, ,0017,20090326,0,0,0,0,0,0046, ,11110-3238,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 신교동 17-46번지,26,11110, 
10200, ,0039,20171118,0,0,0,0,0,0002, ,11110-100017643,0,0,0,0,12,1,0,0,0,서울특별시 종로구 신교동 39-2번지,27,11110, 
10200, ,0045,20131205,0,29.58,2,0,0,0000, ,11110-100017032,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 45번지,28,11110, 
10200, ,0058,20100414,0,0,0,113.83,6,0001, ,11110-100005657,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 58-1번지,29,11110, 
10200, ,0058,20100908,6,0,0,0,6,0001, ,11110-100011109,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 58-1번지,30,11110, 
10200, ,0059,20120831,0,0,0,193.48,15,0000, ,11110-100016304,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 신교동 59번지,31,11110, 
10200, ,0059,20130417,0,11.5,1,193.48,15,0000, ,11110-100017374,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 59번지,32,11110, 
10200, ,0066,20120929,0,0,154,0,0,0000, ,11110-100014228,0,0,0,0,0,19,0,0,0,서울특별시 종로구 신교동 66번지,33,11110, 
10200, ,0070,20131126,0,142.12,5,0,0,0001, ,11110-550,0,0,0,0,23,2,0,0,0,서울특별시 종로구 신교동 70-1번지,34,11110, 
10200, ,0070,20090326,0,0,0,0,5,0010, ,11110-3709,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 70-10번지,35,11110, 
10200, ,0070,20090326,0,0,0,0,0,0010, ,11110-3716,0,0,0,0,0,0,66.37,5,0,서울특별시 종로구 신교동 70-10번지,36,11110, 
10200, ,0076,20170517,0,0,0,0,0,0000, ,11110-100026683,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 신교동 76번지,37,11110, 
10200, ,0077,20170708,0,0,0,0,0,0002, ,11110-100026918,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 신교동 77-2번지,38,11110, 
10200, ,0079,20090326,0,23,2,0,0,0000, ,11110-2555,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 79번지,39,11110, 
