bjdongCd,block,bun,crtnDay,exmptUtcnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,ji,lot,mgmPmsrgstPk,neigAutoArea,neigAutoUtcnt,neigMechArea,neigMechUtcnt,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platGbCd,platPlc,rnum,sigunguCd,splotNm
10100, ,0004,20090326,0,0,45,0,0,0001, ,11110-3306,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 4-1번지,1,11110, 
10100, ,0004,20090326,0,438.86,12,0,0,0003, ,11110-3661,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 4-3번지,2,11110, 
10100, ,0004,20090326,0,549.17,21,0,0,0007, ,11110-284,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 4-7번지,3,11110, 
10100, ,0004,20140711,0,178.89,4,0,0,0014, ,11110-2334,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 4-14번지,4,11110, 
10100, ,0005,20090326,0,0,0,0,0,0000, ,11110-3487,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 5번지,5,11110, 
10100, ,0005,20140315,0,0,0,0,0,0000, ,11110-2926,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 5번지,6,11110, 
10100, ,0006,20161221,0,0,0,0,0,0000, ,11110-100023513,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 6번지,7,11110, 
10100, ,0008,20170307,0,0,0,0,0,0004, ,11110-3771,0,0,0,0,0,10,0,0,0,서울특별시 종로구 청운동 8-4번지,8,11110, 
10100, ,0012,20190109,0,33.1,1,0,0,0002, ,11110-100030002,0,0,0,0,57.5,5,0,0,0,서울특별시 종로구 청운동 12-2번지,9,11110, 
10100, ,0012,20190329,0,0,0,0,0,0003, ,11110-100034089,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 12-3번지,10,11110, 
10100, ,0015,20130618,0,295.79,10,0,0,0000, ,11110-1864,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 15번지,11,11110, 
10100, ,0015,20130618,0,66.33,4,0,0,0007, ,11110-1561,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 15-7번지,12,11110, 
10100, ,0015,20090326,0,0,0,0,0,0009, ,11110-2561,0,0,0,0,23,2,0,0,0,서울특별시 종로구 청운동 15-9번지,13,11110, 
10100, ,0015,20180914,0,142.29,4,0,0,0012, ,11110-100016889,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 15-12번지,14,11110, 
10100, ,0015,20111209,0,0,0,0,0,0014, ,11110-100011735,0,0,0,0,56,4,0,0,0,서울특별시 종로구 청운동 15-14번지,15,11110, 
10100, ,0015,20130618,0,123.9,4,0,0,0015, ,11110-2463,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 15-15번지,16,11110, 
10100, ,0015,20111104,0,0,0,0,0,0017, ,11110-100011736,0,0,0,0,55,4,0,0,0,서울특별시 종로구 청운동 15-17번지,17,11110, 
10100, ,0015,20140318,0,62.89,1,0,0,0022, ,11110-100018579,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 청운동 15-22번지,18,11110, 
10100, ,0015,20130824,0,0,0,0,0,0033, ,11110-1951,0,0,0,0,39.07,2,0,0,0,서울특별시 종로구 청운동 15-33번지,19,11110, 
10100, ,0015,20180420,0,98.82,3,0,0,0033, ,11110-100025592,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 15-33번지,20,11110, 
10100, ,0015,20130727,0,12.5,1,0,0,0046, ,11110-100016486,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 15-46번지,21,11110, 
10100, ,0015,20161207,0,0,0,0,0,0046, ,11110-100023938,0,0,0,0,37.5,3,0,0,0,서울특별시 종로구 청운동 15-46번지,22,11110, 
10100, ,0015,20130618,0,76.44,3,0,0,0056, ,11110-929,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 15-56번지,23,11110, 
10100, ,0030,20140711,0,390.73,13,0,0,0001, ,11110-2469,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 30-1번지,24,11110, 
10100, ,0030,20170908,0,0,0,0,0,0013, ,11110-100024216,0,0,0,0,0,7,0,0,0,서울특별시 종로구 청운동 30-13번지,25,11110, 
10100, ,0030,20180519,0,0,0,0,0,0015, ,11110-100027079,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 30-15번지,26,11110, 
10100, ,0039,20140327,0,0,0,0,0,0006, ,11110-1827,0,0,0,0,0,3,0,0,0,서울특별시 종로구 청운동 39-6번지,27,11110, 
10100, ,0040,20090326,0,0,0,0,0,0003, ,11110-1032,0,0,0,0,69,6,0,0,0,서울특별시 종로구 청운동 40-3번지,28,11110, 
10100, ,0040,20140206,0,61.2,3,0,0,0003, ,11110-1758,0,0,0,0,0,0,0,0,0,서울특별시 종로구 청운동 40-3번지,29,11110, 
10100, ,0040,20180914,0,0,0,0,0,0003, ,11110-100019422,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 40-3번지,30,11110, 
10100, ,0049,20170524,0,0,0,0,0,0002, ,11110-100024571,0,0,0,0,46,4,0,0,0,서울특별시 종로구 청운동 49-2번지,31,11110, 
10100, ,0050,20131206,0,46,4,0,0,0010, ,11110-1020,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 청운동 50-10번지,32,11110, 
