archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
66.93,0200,증축, ,0,60.03,10100, , ,0012,20141210,1, , ,0,0,0005,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,01000,단독주택,11110-100021370,111.5,0,서울특별시 종로구 청운동 12-5번지, ,22,11110, , , ,111.29,0,20141208,90.18,100.55
0, , ,20071005,0,0,10100, , ,0012,20100325,0, , ,0,0,0009, , , , , , , ,0, , ,11110-6731,0,0,서울특별시 종로구 청운동 12-9번지, ,23,11110, , , ,0,0, ,0,0
0, , ,20021209,0,0,10100, , ,0015,20100325,0, , ,0,0,0000, , , , , , , ,0, , ,11110-5628,0,0,서울특별시 종로구 청운동 15번지, ,24,11110, , , ,0,0, ,0,0
248.25,0100,신축,20021212,0,29.79,10100,레노시스빌, ,0015,20130618,0, , ,3,0,0000,411,자연경관지구,08,대,0100,도시지역, ,1,02000,공동주택,11110-1864,833.3,0,서울특별시 종로구 청운동 15번지,20021216,25,11110, , ,20021216,1117.51,10,20030709,87.52,729.33
0, , ,20020219,0,0,10100, , ,0015,20100325,0, , ,0,0,0007, , , , , , , ,0, , ,11110-5208,0,0,서울특별시 종로구 청운동 15-7번지, ,26,11110, , , ,0,0, ,0,0
176.06,0100,신축,20020307,0,29.59,10100,드림빌, ,0015,20130618,0, , ,3,0,0007,990,기타지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-1561,595,0,서울특별시 종로구 청운동 15-7번지,20020329,27,11110, , ,20020329,658,6,20021221,85.11,506.4
142.22,0100,신축,20030416,0,29.63,10100,청운동 단독주택, ,0015,20090326,1, , ,0,0,0009,990,기타지구,08,대,1020,일반주거지역, ,1,01000,단독주택,11110-2561,480,0,서울특별시 종로구 청운동 15-9번지,20030422,28,11110, , ,20030422,327.16,2,20030924,68.16,327.16
0, , ,20030122,0,0,10100, , ,0015,20100325,0, , ,0,0,0009, , , , , , , ,0, , ,11110-5668,0,0,서울특별시 종로구 청운동 15-9번지, ,29,11110, , , ,0,0, ,0,0
0, , ,20130930,0,0,10100, , ,0015,20131001,0, , ,0,0,0012, , ,08,대, , , ,0, , ,11110-100018280,0,0,서울특별시 종로구 청운동 15-12번지, ,30,11110, , , ,0,0, ,0,0
165.1,0100,신축,20121231,0,29.9697,10100,단독주택, ,0015,20180914,1,UOA120,상대정화구역,0,0,0012,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100016889,550.89,0,서울특별시 종로구 청운동 15-12번지,20131024,31,11110, , ,20131025,518.09,0,20140709,54.1215,298.15
