bjdongCd,block,bun,changGbCd,changGbCdNm,crtnDay,flrGbCd,flrGbCdNm,flrNo,hoNm,hoNo,ji,lot,mgmDongOulnPk,mgmHoDetlPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm
10100, ,0030, , ,20140711,20,지상,1, ,3,0001, ,11110-3002,11110-17505,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,39,11110, 
10100, ,0030, , ,20140711,20,지상,1, ,4,0001, ,11110-3002,11110-17506,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,40,11110, 
10100, ,0030, , ,20140711,20,지상,2, ,5,0001, ,11110-3002,11110-17507,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,41,11110, 
10100, ,0030, , ,20140711,20,지상,2, ,6,0001, ,11110-3002,11110-17508,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,42,11110, 
10100, ,0030, , ,20140711,20,지상,3, ,7,0001, ,11110-3002,11110-17509,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,43,11110, 
10100, ,0030, , ,20140711,20,지상,3, ,8,0001, ,11110-3002,11110-17510,11110-2469,0,서울특별시 종로구 청운동 30-1번지, ,44,11110, 
10100, ,0050, , ,20131206,20,지상,5, ,8,0010, ,11110-1420,11110-11180,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,45,11110, 
10100, ,0050, , ,20131206,20,지상,5, ,7,0010, ,11110-1420,11110-11179,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,46,11110, 
10100, ,0050, , ,20131206,20,지상,4, ,6,0010, ,11110-1420,11110-11178,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,47,11110, 
10100, ,0050, , ,20131206,20,지상,4, ,5,0010, ,11110-1420,11110-11177,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,48,11110, 
10100, ,0050, , ,20131206,20,지상,3, ,4,0010, ,11110-1420,11110-11176,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,49,11110, 
10100, ,0050, , ,20131206,20,지상,3, ,3,0010, ,11110-1420,11110-11175,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,50,11110, 
10100, ,0050, , ,20131206,20,지상,2, ,2,0010, ,11110-1420,11110-11174,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,51,11110, 
10100, ,0050, , ,20131206,20,지상,2, ,1,0010, ,11110-1420,11110-11173,11110-1020,0,서울특별시 종로구 청운동 50-10번지, ,52,11110, 
