archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0100,신축,10100,리뉴빌, ,0004,20140711,166.94,20,지상,1,0014, ,02003,다세대주택,11110-2865,11110-13119,11110-2334,0,서울특별시 종로구 청운동 4-14번지,27,11110, ,21,철근콘크리트구조
0100,신축,10100,리뉴빌, ,0004,20140711,164.47,20,지상,2,0014, ,02003,다세대주택,11110-2865,11110-13120,11110-2334,0,서울특별시 종로구 청운동 4-14번지,28,11110, ,21,철근콘크리트구조
0100,신축,10100,리뉴빌, ,0004,20140711,166.94,20,지상,3,0014, ,02003,다세대주택,11110-2865,11110-13121,11110-2334,0,서울특별시 종로구 청운동 4-14번지,29,11110, ,21,철근콘크리트구조
0700,용도변경,10100,예수그리스도후기성도교회수도원, ,0005,20090326,62.97,20,지상,1,0000, ,06105,수도원,11110-4139,11110-18994,11110-3487,0,서울특별시 종로구 청운동 5번지,30,11110, ,21,철근콘크리트구조
0700,용도변경,10100,예수그리스도후기성도교회수도원, ,0005,20090326,179.5,20,지상,2,0000, ,06105,수도원,11110-4139,11110-18995,11110-3487,0,서울특별시 종로구 청운동 5번지,31,11110, ,21,철근콘크리트구조
0700,용도변경,10100,예수그리스도후기성도교회수도원, ,0005,20090326,155.13,20,지상,3,0000, ,06105,수도원,11110-4139,11110-18996,11110-3487,0,서울특별시 종로구 청운동 5번지,32,11110, ,21,철근콘크리트구조
0100,신축,10100,선교부장 사택, ,0005,20140315,62.97,20,지상,1,0000, ,01001,단독주택,11110-3516,11110-16049,11110-2926,0,서울특별시 종로구 청운동 5번지,33,11110, ,21,철근콘크리트구조
0100,신축,10100,선교부장 사택, ,0005,20140315,179.5,20,지상,2,0000, ,01001,단독주택,11110-3516,11110-16050,11110-2926,0,서울특별시 종로구 청운동 5번지,34,11110, ,21,철근콘크리트구조
0100,신축,10100,선교부장 사택, ,0005,20140315,155.13,20,지상,3,0000, ,01001,단독주택,11110-3516,11110-16051,11110-2926,0,서울특별시 종로구 청운동 5번지,35,11110, ,21,철근콘크리트구조
0200,증축,10100,청운동 6 종교시설 (재단법인예수그리스도후기성도교회), ,0006,20161221,169.14,20,지상,1,0000, ,06101,교회,11110-100026886,11110-100052507,11110-100023513,0,서울특별시 종로구 청운동 6번지,36,11110, ,21,철근콘크리트구조
0200,증축,10100,청운동 6 종교시설 (재단법인예수그리스도후기성도교회), ,0006,20161221,71.92,10,지하,1,0000, ,06101,교회,11110-100026886,11110-100052508,11110-100023513,0,서울특별시 종로구 청운동 6번지,37,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 7-3 (종로구청), ,0007,20150708,81.9,20,지상,1,0003, ,03012,공중화장실,11110-100022610,11110-100044186,11110-100023152,0,서울특별시 종로구 청운동 7-3번지,38,11110, ,21,철근콘크리트구조
 , ,10100,청운동 효성빌라, ,0008,20170307,0,10,지하,1,0004, , , ,11110-4463,11110-20316,11110-3771,0,서울특별시 종로구 청운동 8-4번지,39,11110, , , 
 , ,10100,청운동 효성빌라, ,0008,20170307,0,10,지하,1,0004, , , ,11110-4463,11110-20317,11110-3771,0,서울특별시 종로구 청운동 8-4번지,40,11110, , , 
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,92.21,20,지상,1,0004, ,04402,사무소,11110-4463,11110-20318,11110-3771,0,서울특별시 종로구 청운동 8-4번지,41,11110, ,21,철근콘크리트구조
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,87.68,20,지상,1,0004, ,04402,사무소,11110-4463,11110-20319,11110-3771,0,서울특별시 종로구 청운동 8-4번지,42,11110, ,21,철근콘크리트구조
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,179.89,20,지상,1,0004, ,04402,사무소,11110-4463,11110-20320,11110-3771,0,서울특별시 종로구 청운동 8-4번지,43,11110, ,21,철근콘크리트구조
 , ,10100,청운동 효성빌라, ,0008,20170307,0,20,지상,1,0004, , , ,11110-4463,11110-20321,11110-3771,0,서울특별시 종로구 청운동 8-4번지,44,11110, , , 
 , ,10100,청운동 효성빌라, ,0008,20170307,0,20,지상,1,0004, , , ,11110-4463,11110-20322,11110-3771,0,서울특별시 종로구 청운동 8-4번지,45,11110, , , 
0700,용도변경,10100,청운동 효성빌라, ,0008,20170307,266.97,20,지상,2,0004, ,04402,사무소,11110-4463,11110-20323,11110-3771,0,서울특별시 종로구 청운동 8-4번지,46,11110, ,21,철근콘크리트구조
