,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,C3,C3_NM,C3_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM
20,11,서울특별시,Seoul,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,546197,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
21,11,서울특별시,Seoul,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,602226,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
22,11,서울특별시,Seoul,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,580812,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
23,11,서울특별시,Seoul,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,784464,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
24,11,서울특별시,Seoul,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,281217,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
25,11,서울특별시,Seoul,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,541592,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
26,11,서울특별시,Seoul,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,108008,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
27,11,서울특별시,Seoul,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,407018,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
28,21,부산광역시,Busan,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,791489,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
29,21,부산광역시,Busan,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,1105795,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
30,21,부산광역시,Busan,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,85004,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
31,21,부산광역시,Busan,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,81048,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
32,21,부산광역시,Busan,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,272363,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
33,21,부산광역시,Busan,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,289335,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
34,21,부산광역시,Busan,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,264012,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
35,21,부산광역시,Busan,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,332276,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
36,21,부산광역시,Busan,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,132781,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
37,21,부산광역시,Busan,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,235633,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
38,21,부산광역시,Busan,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,31779,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
39,21,부산광역시,Busan,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,109211,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
40,21,부산광역시,Busan,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,5550,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
41,21,부산광역시,Busan,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,58291,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
42,22,대구광역시,Daegu,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,550374,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
43,22,대구광역시,Daegu,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,722939,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
44,22,대구광역시,Daegu,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,45556,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
45,22,대구광역시,Daegu,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,40021,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
46,22,대구광역시,Daegu,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,203048,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
47,22,대구광역시,Daegu,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,211511,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
48,22,대구광역시,Daegu,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,193013,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
49,22,대구광역시,Daegu,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,239894,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
50,22,대구광역시,Daegu,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,82808,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
51,22,대구광역시,Daegu,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,150897,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
52,22,대구광역시,Daegu,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,22460,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
53,22,대구광역시,Daegu,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,60849,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
54,22,대구광역시,Daegu,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,3489,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
55,22,대구광역시,Daegu,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,19768,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
56,23,인천광역시,Incheon,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,630228,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
57,23,인천광역시,Incheon,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,833843,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
58,23,인천광역시,Incheon,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,82451,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
59,23,인천광역시,Incheon,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,77654,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
60,23,인천광역시,Incheon,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,204460,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
61,23,인천광역시,Incheon,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,219337,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
62,23,인천광역시,Incheon,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,235164,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
63,23,인천광역시,Incheon,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,294937,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
64,23,인천광역시,Incheon,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,87754,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
65,23,인천광역시,Incheon,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,165443,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
66,23,인천광역시,Incheon,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,17784,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
67,23,인천광역시,Incheon,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,54725,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
68,23,인천광역시,Incheon,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,2615,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
69,23,인천광역시,Incheon,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,21748,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
70,24,광주광역시,Gwangju,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,328263,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
71,24,광주광역시,Gwangju,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,438383,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
72,24,광주광역시,Gwangju,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,41122,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
73,24,광주광역시,Gwangju,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,38144,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
74,24,광주광역시,Gwangju,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,145889,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
75,24,광주광역시,Gwangju,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,157767,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
76,24,광주광역시,Gwangju,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,101254,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
77,24,광주광역시,Gwangju,거주지역별,030,1.5~3억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,139128,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
78,24,광주광역시,Gwangju,거주지역별,040,3~6억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,32730,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
79,24,광주광역시,Gwangju,거주지역별,040,3~6억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,70323,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
80,24,광주광역시,Gwangju,거주지역별,050,6~12억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,6241,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
81,24,광주광역시,Gwangju,거주지역별,050,6~12억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,22626,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
82,24,광주광역시,Gwangju,거주지역별,060,12억 초과,주택자산 가액별,01,주택소유 가구,주택소유 현황별,1027,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
83,24,광주광역시,Gwangju,거주지역별,060,12억 초과,주택자산 가액별,02,가구소유 주택,주택소유 현황별,10394,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
84,25,대전광역시,Daejeon,거주지역별,000,총계,주택자산 가액별,01,주택소유 가구,주택소유 현황별,320407,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
85,25,대전광역시,Daejeon,거주지역별,000,총계,주택자산 가액별,02,가구소유 주택,주택소유 현황별,429619,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
86,25,대전광역시,Daejeon,거주지역별,010,0.6억이하,주택자산 가액별,01,주택소유 가구,주택소유 현황별,38596,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
87,25,대전광역시,Daejeon,거주지역별,010,0.6억이하,주택자산 가액별,02,가구소유 주택,주택소유 현황별,36678,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
88,25,대전광역시,Daejeon,거주지역별,020,0.6~1.5억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,115432,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
89,25,대전광역시,Daejeon,거주지역별,020,0.6~1.5억,주택자산 가액별,02,가구소유 주택,주택소유 현황별,123946,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
90,25,대전광역시,Daejeon,거주지역별,030,1.5~3억,주택자산 가액별,01,주택소유 가구,주택소유 현황별,112263,T001,일반 가구수 및 소유 주택수,101,2017,A,DT_1OH0410,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,가구/호
