,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
32,25,대전광역시,Daejeon,거주지역별,020,1호초과~2호이하,소유지분별,62160,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
33,25,대전광역시,Daejeon,거주지역별,030,2호초과~3호이하,소유지분별,13825,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
34,25,대전광역시,Daejeon,거주지역별,040,3호초과,소유지분별,6688,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
35,26,울산광역시,Ulsan,거주지역별,000,총계,소유지분별,271099,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
36,26,울산광역시,Ulsan,거주지역별,010,1호이하,소유지분별,198778,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
37,26,울산광역시,Ulsan,거주지역별,020,1호초과~2호이하,소유지분별,55439,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
38,26,울산광역시,Ulsan,거주지역별,030,2호초과~3호이하,소유지분별,11831,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
39,26,울산광역시,Ulsan,거주지역별,040,3호초과,소유지분별,5051,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
40,29,세종특별자치시,Sejong,거주지역별,000,총계,소유지분별,55925,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
41,29,세종특별자치시,Sejong,거주지역별,010,1호이하,소유지분별,38224,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
42,29,세종특별자치시,Sejong,거주지역별,020,1호초과~2호이하,소유지분별,12880,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
43,29,세종특별자치시,Sejong,거주지역별,030,2호초과~3호이하,소유지분별,3263,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
44,29,세종특별자치시,Sejong,거주지역별,040,3호초과,소유지분별,1558,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
45,31,경기도,Gyeonggi-do,거주지역별,000,총계,소유지분별,2542649,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
46,31,경기도,Gyeonggi-do,거주지역별,010,1호이하,소유지분별,1885579,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
47,31,경기도,Gyeonggi-do,거주지역별,020,1호초과~2호이하,소유지분별,492723,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
48,31,경기도,Gyeonggi-do,거주지역별,030,2호초과~3호이하,소유지분별,107197,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
49,31,경기도,Gyeonggi-do,거주지역별,040,3호초과,소유지분별,57150,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
50,32,강원도,Gangwon-do,거주지역별,000,총계,소유지분별,345955,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
