번호,접속 사이트,제공항목(데이터셋),폴더명,작업자,시작일,종료일,검토자,진행상태,비고,획득방식,제공방식,원본제공처,비고0,비고2_comment,자료명,서비스명,사이트,서비스키헤더,서비스키명,서비스키,파라미터,제공방식,데이터타입,참고문서,참고문서타입,주기,비고_파라미터설명,완료여부,API PGM ID,파일명
27,국가통계포털,시도별 가로주택정비사업 현황 누계,27_시도별 가로주택정비사업 현황 누계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10027.py,TB_OD10027_yyyy.csv
28,국가통계포털,시도별 재건축사업현황_누계,28_시도별 재건축사업현황_누계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10028.py,TB_OD10028_yyyymm.csv
29,국가통계포털,시도별 주거환경개선사업현황_누계,29_시도별 주거환경개선사업현황_누계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10029.py,TB_OD10029_yyyymm.csv
30,국가통계포털,시도별 주거환경관리사업현황_누계,30_시도별 주거환경관리사업현황_누계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10030.py,TB_OD10030_yyyymm.csv
31,국가통계포털,시도별 주택재개발사업현황,31_시도별 주택재개발사업현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10031.py,TB_OD10031_yyyymm.csv
32,국가통계포털,연도별 가로주택정비사업 현황,32_연도별 가로주택정비사업 현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10032.py,TB_OD10032_yyyymm.csv
33,국가통계포털,연도별 주거환경개선사업현황,33_연도별 주거환경개선사업현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10033.py,TB_OD10033_yyyymm.csv
34,국가통계포털,연도별 주거환경관리사업현황,34_연도별 주거환경관리사업현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10034.py,TB_OD10034_yyyymm.csv
35,국가통계포털,연도별 주택재개발사업현황,35_연도별 주택재개발사업현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10035.py,TB_OD10035_yyyymm.csv
36,국가통계포털,연도별 주택재건축사업현황,36_연도별 주택재건축사업현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10036.py,TB_OD10036_yyyymm.csv
37,국가통계포털,공동주택 통합 매매 실거래가격지수,37_공동주택 통합 매매 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10037.py,TB_OD10037_yyyymm.csv
38,국가통계포털,규모별 아파트 전세 실거래가격지수,38_규모별 아파트 전세 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10038.py,TB_OD10038_yyyymm.csv
39,국가통계포털,규모별 아파트 매매 실거래가격지수,39_규모별 아파트 매매 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10039.py,TB_OD10039_yyyymm.csv
40,국가통계포털,규모별 연립 다세대 매매 실거래가격지수,40_규모별 연립 다세대 매매 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10040.py,TB_OD10040_yyyymm.csv
41,국가통계포털,아파트 전세 실거래가격지수,41_아파트 전세 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10041.py,TB_OD10041_yyyymm.csv
42,국가통계포털,아파트 규모별 매매 중위가격,42_아파트 규모별 매매 중위가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10042.py,TB_OD10042_yyyymm.csv
43,국가통계포털,아파트 규모별 매매 평균가격,43_아파트 규모별 매매 평균가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10043.py,TB_OD10043_yyyymm.csv
44,국가통계포털,아파트 매매 실거래가격지수,44_아파트 매매 실거래가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10044.py,TB_OD10044_yyyymm.csv
