,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
19,01,아파트,Apartments,주택유형,Type,a11,대전,Daejeon,지역,Region,05,연령5,Age5,건축연령,Age,99.55633808,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
20,01,아파트,Apartments,주택유형,Type,a12,울산,Ulsan,지역,Region,01,연령1,Age1,건축연령,Age,91.05353301,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
21,01,아파트,Apartments,주택유형,Type,a12,울산,Ulsan,지역,Region,02,연령2,Age2,건축연령,Age,87.70106014,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
22,01,아파트,Apartments,주택유형,Type,a12,울산,Ulsan,지역,Region,03,연령3,Age3,건축연령,Age,88.86942415,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
23,01,아파트,Apartments,주택유형,Type,a12,울산,Ulsan,지역,Region,04,연령4,Age4,건축연령,Age,90.43994308,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
24,01,아파트,Apartments,주택유형,Type,a12,울산,Ulsan,지역,Region,05,연령5,Age5,건축연령,Age,87.68571791,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
25,01,아파트,Apartments,주택유형,Type,a13,세종,Sejong,지역,Region,01,연령1,Age1,건축연령,Age,101.7255173,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
26,01,아파트,Apartments,주택유형,Type,a13,세종,Sejong,지역,Region,02,연령2,Age2,건축연령,Age,102.6034344,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
27,01,아파트,Apartments,주택유형,Type,a13,세종,Sejong,지역,Region,03,연령3,Age3,건축연령,Age,99.88546626,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
28,01,아파트,Apartments,주택유형,Type,a13,세종,Sejong,지역,Region,04,연령4,Age4,건축연령,Age,98.49426547,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
29,01,아파트,Apartments,주택유형,Type,a13,세종,Sejong,지역,Region,05,연령5,Age5,건축연령,Age,99.30386128,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
30,01,아파트,Apartments,주택유형,Type,a14,강원,Gangwon,지역,Region,01,연령1,Age1,건축연령,Age,98.36878142,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
31,01,아파트,Apartments,주택유형,Type,a14,강원,Gangwon,지역,Region,02,연령2,Age2,건축연령,Age,96.55617383,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
32,01,아파트,Apartments,주택유형,Type,a14,강원,Gangwon,지역,Region,03,연령3,Age3,건축연령,Age,96.58370938,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
33,01,아파트,Apartments,주택유형,Type,a14,강원,Gangwon,지역,Region,04,연령4,Age4,건축연령,Age,97.01611376,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
34,01,아파트,Apartments,주택유형,Type,a14,강원,Gangwon,지역,Region,05,연령5,Age5,건축연령,Age,97.56386011,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
35,01,아파트,Apartments,주택유형,Type,a15,충북,Chungbuk,지역,Region,01,연령1,Age1,건축연령,Age,97.85464643,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
36,01,아파트,Apartments,주택유형,Type,a15,충북,Chungbuk,지역,Region,02,연령2,Age2,건축연령,Age,98.27651537,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
37,01,아파트,Apartments,주택유형,Type,a15,충북,Chungbuk,지역,Region,03,연령3,Age3,건축연령,Age,96.43629763,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
38,01,아파트,Apartments,주택유형,Type,a15,충북,Chungbuk,지역,Region,04,연령4,Age4,건축연령,Age,96.95568047,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
39,01,아파트,Apartments,주택유형,Type,a15,충북,Chungbuk,지역,Region,05,연령5,Age5,건축연령,Age,97.47384388,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
40,01,아파트,Apartments,주택유형,Type,a16,충남,Chungnam,지역,Region,01,연령1,Age1,건축연령,Age,97.81919664,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
41,01,아파트,Apartments,주택유형,Type,a16,충남,Chungnam,지역,Region,02,연령2,Age2,건축연령,Age,97.98129789,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
42,01,아파트,Apartments,주택유형,Type,a16,충남,Chungnam,지역,Region,03,연령3,Age3,건축연령,Age,96.98200639,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
43,01,아파트,Apartments,주택유형,Type,a16,충남,Chungnam,지역,Region,04,연령4,Age4,건축연령,Age,97.24336824,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
44,01,아파트,Apartments,주택유형,Type,a16,충남,Chungnam,지역,Region,05,연령5,Age5,건축연령,Age,97.07055443,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
45,01,아파트,Apartments,주택유형,Type,a17,전북,Jeonbuk,지역,Region,01,연령1,Age1,건축연령,Age,99.90525428,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
46,01,아파트,Apartments,주택유형,Type,a17,전북,Jeonbuk,지역,Region,02,연령2,Age2,건축연령,Age,98.93144397,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
47,01,아파트,Apartments,주택유형,Type,a17,전북,Jeonbuk,지역,Region,03,연령3,Age3,건축연령,Age,98.80135002,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
48,01,아파트,Apartments,주택유형,Type,a17,전북,Jeonbuk,지역,Region,04,연령4,Age4,건축연령,Age,99.10286098,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
49,01,아파트,Apartments,주택유형,Type,a17,전북,Jeonbuk,지역,Region,05,연령5,Age5,건축연령,Age,99.41665959,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
50,01,아파트,Apartments,주택유형,Type,a18,전남,Jeonnam,지역,Region,01,연령1,Age1,건축연령,Age,100.1413151,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
51,01,아파트,Apartments,주택유형,Type,a18,전남,Jeonnam,지역,Region,02,연령2,Age2,건축연령,Age,99.64594181,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
52,01,아파트,Apartments,주택유형,Type,a18,전남,Jeonnam,지역,Region,03,연령3,Age3,건축연령,Age,101.0054551,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
53,01,아파트,Apartments,주택유형,Type,a18,전남,Jeonnam,지역,Region,04,연령4,Age4,건축연령,Age,101.0260245,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
54,01,아파트,Apartments,주택유형,Type,a18,전남,Jeonnam,지역,Region,05,연령5,Age5,건축연령,Age,100.097794,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
55,01,아파트,Apartments,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,01,연령1,Age1,건축연령,Age,97.92276963,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
56,01,아파트,Apartments,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,02,연령2,Age2,건축연령,Age,96.39378867,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
57,01,아파트,Apartments,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,03,연령3,Age3,건축연령,Age,97.64085502,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
58,01,아파트,Apartments,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,04,연령4,Age4,건축연령,Age,94.60180306,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
