(단위:원),18년말,4.16,4.22,4.23,전일비,전주비,18년말비
원/달러,"1,115.7","1,135.7","1,141.5","1,141.8",+0.0%,+0.5%,+2.3%
원/100엔,"1,017.1","1,014.5","1,019.9","1,020.9",+0.1%,+0.6%,+0.4%
