(단위:pt),18년말,4.16,4.22,4.23,전일비,전주비,18년말비
KOSPI,"2,041","2,249","2,217","2,221",+0.17%,△1.3%,+8.8%
KOSDAQ,676,765,762,761,△0.08%,△0.5%,+12.7%
