,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
27,1511613102251772A.04,대구,,시도별,Metropolitan city and province,1511613102251772B.4,5층,,층수별,5214,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
28,1511613102251772A.04,대구,,시도별,Metropolitan city and province,1511613102251772B.5,6~10층,,층수별,1808,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
29,1511613102251772A.04,대구,,시도별,Metropolitan city and province,1511613102251772B.6,11~20층,,층수별,2960,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
30,1511613102251772A.04,대구,,시도별,Metropolitan city and province,1511613102251772B.7,21~30층,,층수별,359,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
31,1511613102251772A.04,대구,,시도별,Metropolitan city and province,1511613102251772B.8,31층이상,,층수별,25,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
32,1511613102251772A.05,인천,,시도별,Metropolitan city and province,1511613102251772B.0,계,Total,층수별,202873,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
33,1511613102251772A.05,인천,,시도별,Metropolitan city and province,1511613102251772B.2,1층,,층수별,89503,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
34,1511613102251772A.05,인천,,시도별,Metropolitan city and province,1511613102251772B.3,2~4층,,층수별,98836,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
35,1511613102251772A.05,인천,,시도별,Metropolitan city and province,1511613102251772B.4,5층,,층수별,7596,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
36,1511613102251772A.05,인천,,시도별,Metropolitan city and province,1511613102251772B.5,6~10층,,층수별,3184,1611613103251772T2,동수,116,2007,A,TX_116110034,건축물 현황(시도별층수별),동,Building
