,C1,C1_NM,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
35,13102883384A.06,대구,구분,Classification,1034,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
36,13102883384A.07,인천,구분,Classification,2782,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
37,13102883384A.07,인천,구분,Classification,1239,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
38,13102883384A.07,인천,구분,Classification,615,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
39,13102883384A.07,인천,구분,Classification,202,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
40,13102883384A.07,인천,구분,Classification,184,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
41,13102883384A.07,인천,구분,Classification,542,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
42,13102883384A.08,광주,구분,Classification,3020,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
43,13102883384A.08,광주,구분,Classification,2058,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
44,13102883384A.08,광주,구분,Classification,212,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
45,13102883384A.08,광주,구분,Classification,422,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
46,13102883384A.08,광주,구분,Classification,162,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
47,13102883384A.08,광주,구분,Classification,166,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
48,13102883384A.09,대전,구분,Classification,2661,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
49,13102883384A.09,대전,구분,Classification,1250,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
50,13102883384A.09,대전,구분,Classification,1345,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
51,13102883384A.09,대전,구분,Classification,10,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
52,13102883384A.09,대전,구분,Classification,56,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
53,13102883384A.09,대전,구분,Classification,0,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
54,13102883384A.10,울산,구분,Classification,1541,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
55,13102883384A.10,울산,구분,Classification,738,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
56,13102883384A.10,울산,구분,Classification,244,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
57,13102883384A.10,울산,구분,Classification,21,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
58,13102883384A.10,울산,구분,Classification,4,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
59,13102883384A.10,울산,구분,Classification,534,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
60,13102883384A.11,세종,구분,Classification,222,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
61,13102883384A.11,세종,구분,Classification,220,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
62,13102883384A.11,세종,구분,Classification,2,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
63,13102883384A.11,세종,구분,Classification,0,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
64,13102883384A.11,세종,구분,Classification,0,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
65,13102883384A.11,세종,구분,Classification,0,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
66,13102883384A.12,경기,구분,Classification,19492,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
67,13102883384A.12,경기,구분,Classification,6073,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
68,13102883384A.12,경기,구분,Classification,4897,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
69,13102883384A.12,경기,구분,Classification,898,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
70,13102883384A.12,경기,구분,Classification,1484,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
71,13102883384A.12,경기,구분,Classification,6140,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
72,13102883384A.13,강원,구분,Classification,2626,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
73,13102883384A.13,강원,구분,Classification,2218,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
