,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
21,00,종합,Total,주택유형,Type,a502,도심권,Dosim-kwon,지역,Region,100.3454045,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
22,00,종합,Total,주택유형,Type,a503,동북권,Dongbuk-kwon,지역,Region,99.85439646,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
23,00,종합,Total,주택유형,Type,a504,서북권,Seobuk-kwon,지역,Region,100.4412961,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
24,00,종합,Total,주택유형,Type,a505,강남권역,SouthernSeoul,지역,Region,98.55885811,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
25,00,종합,Total,주택유형,Type,a506,서남권,Seonam-kwon,지역,Region,100.0411567,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
26,00,종합,Total,주택유형,Type,a507,동남권,Dongnam-kwon,지역,Region,96.62227312,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
27,00,종합,Total,주택유형,Type,a6,경기,Gyeonggi,지역,Region,97.44585113,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
28,00,종합,Total,주택유형,Type,a601,경부1권,Gyeongbu1-kwon,지역,Region,97.9411005,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
29,00,종합,Total,주택유형,Type,a602,경부2권,Gyeongbu2-kwon,지역,Region,96.86762257,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
30,00,종합,Total,주택유형,Type,a603,서해안권,Seohaean-kwon,지역,Region,96.72548211,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
31,00,종합,Total,주택유형,Type,a604,동부1권,Dongbu1-kwon,지역,Region,97.67763728,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
32,00,종합,Total,주택유형,Type,a605,동부2권,Dongbu2-kwon,지역,Region,99.6975108,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
33,00,종합,Total,주택유형,Type,a606,경의권,Gyeongui-kwon,지역,Region,97.23366012,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
34,00,종합,Total,주택유형,Type,a607,경원권,Gyeongwon-kwon,지역,Region,99.35199145,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
35,00,종합,Total,주택유형,Type,a7,인천,Incheon,지역,Region,98.86862693,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
36,00,종합,Total,주택유형,Type,a8,부산,Busan,지역,Region,98.26276684,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
37,00,종합,Total,주택유형,Type,a801,중부산권,Jungbusan-kwon,지역,Region,98.39537886,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
38,00,종합,Total,주택유형,Type,a802,동부산권,Dongbusan-kwon,지역,Region,97.5959748,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
39,00,종합,Total,주택유형,Type,a803,서부산권,Seobusan-kwon,지역,Region,98.81526154,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
40,00,종합,Total,주택유형,Type,a9,대구,Daegu,지역,Region,100.0151169,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
41,01,아파트,Apartments,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,96.96723345,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
42,01,아파트,Apartments,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,97.34550927,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
43,01,아파트,Apartments,주택유형,Type,a10,광주,Gwangju,지역,Region,100.4629215,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
44,01,아파트,Apartments,주택유형,Type,a11,대전,Daejeon,지역,Region,100.0541782,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
45,01,아파트,Apartments,주택유형,Type,a12,울산,Ulsan,지역,Region,87.14778069,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
46,01,아파트,Apartments,주택유형,Type,a13,세종,Sejong,지역,Region,103.6220108,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
47,01,아파트,Apartments,주택유형,Type,a14,강원,Gangwon,지역,Region,95.83223842,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
48,01,아파트,Apartments,주택유형,Type,a15,충북,Chungbuk,지역,Region,95.44995105,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
49,01,아파트,Apartments,주택유형,Type,a16,충남,Chungnam,지역,Region,95.99860772,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
50,01,아파트,Apartments,주택유형,Type,a17,전북,Jeonbuk,지역,Region,98.7307616,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
51,01,아파트,Apartments,주택유형,Type,a18,전남,Jeonnam,지역,Region,101.0105039,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
52,01,아파트,Apartments,주택유형,Type,a19,경북,Gyeongbuk,지역,Region,94.79746661,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
53,01,아파트,Apartments,주택유형,Type,a2,지방,Non-SeoulMetropolitanArea,지역,Region,96.60857071,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
54,01,아파트,Apartments,주택유형,Type,a20,경남,Gyeongnam,지역,Region,91.95892242,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
55,01,아파트,Apartments,주택유형,Type,a21,제주,Jeju,지역,Region,96.75193978,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
56,01,아파트,Apartments,주택유형,Type,a22,6대광역시,6LargeCities,지역,Region,97.81283998,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
57,01,아파트,Apartments,주택유형,Type,a23,9개도,9Provinces,지역,Region,95.91477553,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
58,01,아파트,Apartments,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,97.69994007,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
59,01,아파트,Apartments,주택유형,Type,a4,8개도,8Provinces,지역,Region,95.5099263,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
60,01,아파트,Apartments,주택유형,Type,a5,서울,Seoul,지역,Region,98.60798443,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
61,01,아파트,Apartments,주택유형,Type,a501,강북권역,NorthernSeoul,지역,Region,99.73111194,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
62,01,아파트,Apartments,주택유형,Type,a502,도심권,Dosim-kwon,지역,Region,99.99362376,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
63,01,아파트,Apartments,주택유형,Type,a503,동북권,Dongbuk-kwon,지역,Region,99.66729222,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
64,01,아파트,Apartments,주택유형,Type,a504,서북권,Seobuk-kwon,지역,Region,99.83399745,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
65,01,아파트,Apartments,주택유형,Type,a505,강남권역,SouthernSeoul,지역,Region,97.67197272,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
66,01,아파트,Apartments,주택유형,Type,a506,서남권,Seonam-kwon,지역,Region,99.84908296,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
67,01,아파트,Apartments,주택유형,Type,a507,동남권,Dongnam-kwon,지역,Region,95.31486557,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
